Product Code,Description,Unit Price
10KGRAG,10 KG Assorted Rags,£16.40 
115BD,115mm Bundle Deal,£100.00 
LB533980,9 x 533 Linishing Belt 80# 30PK,£15.99 
LB533960,9 x 533 Linishing Belt 60# 30PK,£15.99 
115BP,115mm Backing Pad,£5.42 
115CAO,115*1.0*22.23mm Aluminium Oxide Cutting Disc,£0.41 
115CGAO,115*3.0*22.23mm Aluminium Oxide Cutting Disc,£0.55 
115F120Z,115*120# Fibre Disc - Zirconium ,£0.38 
115F24Z,115*24# Fibre Disc - Zirconium ,£0.41 
115F36AO,115*36# Fibre Disc - Aluminium Oxide,£0.30 
115F36Z,115*36# Fibre Disc - Zirconium ,£0.40 
115F60Z,115*60# Fibre Disc - Zirconium ,£0.39 
115FC40,115mm Ceramic Flap Disc,£1.95 
115FZ40,115mm Zirconia Flap Disc,£0.78 
115GAO,115*6.0*22.23mm Aluminium Oxide Grinding Disc,£0.72 
115KSPR25,115*2.5*22.23mm Klingspor Disc,£0.94 
115MFBP,M14 Backing Pad - Medium,£7.55 
115PSDA,Abracs Poly Stripping Disc (Black),£5.42 
115PSDU,Nylon Stripping Disc (Purple),£3.50 
144CHLK,Flat Engineers Chalk - 144 pcs,£10.32 
152DA120,120# Dual Action Polishing Pad 50pcs - Klingspor,£12.48 
152DA240 ,240# Dual Action Polishing Pad 50pcs - Klingspor,£12.48 
152DA60,60# Dual Action Polishing Pad 50pcs  - Klingspor,£21.84 
152DA80,80# Dual Action Polishing Pad 50pcs - Klingspor,£12.48 
230CAO,230*1.9mm Aluminium Oxide Cutting Disc,£1.14 
230GAO,230*6.0mm Aluminium Oxide Grinding Disc,£1.99
230KGAO,230*6.0mm Klingspor Grinding Disc,£2.99 
3MHPB,3M Scotch-Brite 7440 A-MED Brown 20pk,£76.11 
3MHPG,3M Scotch-Brite 7496 A-VFN Green 20pk ,£33.18 
3MHPM,3M Scotch-Brite 7447+ A-VFN Maroon 20pk,£27.60 
3MROL1202,3M Roloc 120# Aluminum Oxide 50pk,£33.60 
3MROLAD,3M Roloc Adapter,£14.36 
3MROLBDY,"3M Roloc Bristle Disc 2"" - Yellow 10pk",£63.49 
3MROLSBM2,"3M Scotch-Brite A-Med Roloc 2"" 50pk",£74.50 
3MSBSCBDB,3M Scotch-Brite 115mm Surface Conditioning Backed Disc 10pk,£52.58 
ABFFD,Abracs Felt Finsihing Disc ,£4.26 
BATAPE,Barrier Tape 75mm,£8.43 
BB2455/8ST,2450mmx27 5/8TPI Bandsaw Blade - Starrett,£26.24 
BC14S,Broach Cutter 14mm Short ,£8.82 
BC18S,Broach Cutter 18mm Short ,£10.68 
BC22S,Broach Cutter 22mm Short ,£15.30 
BC32S,Broach Cutter 32mm Short,£31.99 
BCPPS,Broach Cutter Pilot Pin Short,£2.95 
BZLMB364M,Binzel MB36 Mig Torch - 4M,£84.00 
CLNWLDAS,Cleanweld - Antispatter 600ml Aersol ,£4.59 
CT90AC,Action Can CT-90 - Aerosol 500ml,£8.52 
CT90FL,CT90 Poly Bottle - 500ml,£11.22 
Discount,,
DR100VF,Klingspor Non-Woven Combi Drum 180 A-VFN (Stainless),£33.23 
E601325,6013 Electrode 2.5mm - Carton,£62.38 
E601332,6013 Electrode 3.2mm - Carton,£63.25 
E701825ES,2.5mm 7018 Electrode 0.7kg - ESAB,£15.74 
E701832ES,3.2mm 7018 Electrode 2.3kg - ESAB,£36.73 
EL4M300+,4M Earth Lead 50mm²,£49.50 
ESABWAROL,ESAB Warrior Outer Lens 10pk,£18.01 
ESETAS,ESAB - Hi Tec Antispatter Spray,£4.22 
G3Si110,G3Si1 1.0mm 15kg,£23.94 
G3Si112,G3Si1 1.2mm 15kg,£28.99 
GG10,Gator Gripz - Size 10 Disp Gloves,£19.23 
GPRED10,PU Coated Gloves CAT II - Predator,£0.60 
GRA30,Argon Gas Regulator 30L ,£26.95 
HDCP12,12mm Heavy Duty Centre Punch ,£6.34 
K3S10CK,K3/S10 Chuck Key ,£6.99 
KEMPOL,Kempi Outer Lens 115*104 10pk,£8.82 
KEMPROL10,Kempi Red roller upper and lower 1.0mm,£47.32
KNOZ,Kempi Nozzle 10pk,£45.50 
LB122010060C,Ceramic Belt - 1220x100 - 60# ,£8.66 
LB2000150Z40,40# 2000x150 Zirocnia Linishing Belt 10pk,£174.00 
LB75-36,36# Zirconium Linisher Belt 75x2000mm,£8.81 
LB760-40SPC,Surface Preperation Belt - Coarse 760x40,£10.99 
LB760-40SPM,Surface Preperation Belt - Medium -760x40,£10.99 
LB760-40ZA40,Abrasive Belt - 760x40 - Zirconum 40#,£3.13 
LINERRED4M,4M Red Torch Liner,£4.20 
LINERRED5M,5M Red Torch Liner,£5.36 
M812CT,1.2mm M8 Contact Tip,£0.90 
MB25CN,Conical Nozzle - MB25 ,£2.50 
MB25TM6,MB25 Tip Adaptor M6 Standard,£0.99 
MB25TN,Tapered Nozzle - MB25,£2.50 
MB36CN,Conical Nozzle - MB36 ,£3.18 
MB36GD,MB36 Gas Difuser,£0.78 
MB36TM8,MB36 Tip Adaptor M8,£0.99 
MIGGL,Leopard - Welding Gauntlet Pair,£3.50 
NF10036,115*36# Fibre Disc - Aluminium Oxide,£0.37 
NF10036,Norton F100 36# Fibre Disc - Aluminium Oxide,£0.37 
Nil,Nil,£0.00 
NORPSD,Norton Blaze 115mm Poly Stripping Disc,£9.52 
P3RFIL,Respirator Filter - P3R,£7.30 
PARAS5,Parweld - Water Based Anti-spatter 5KG,£11.72 
PMYEL,Edding 950 Paint Marker - Yellow,£3.85 
PODGLOVE,Polyco - Disposable Glove 100pk,£6.12 
PPGDG10,Parweld - Panther Gold Driver Glove Size 10 ,£7.32 
REFUND,,
RIGGL10,Size 10 Rigger Gloves - 10 PK,£20.80 
ROC5L,Rocol Multi-sol 5L ,£69.99 
SFTYGLAS,Ultimate Industrial - Safety Glasses 1pc,£1.30 
SFTYGLES,ESAB - Safety Glasses ,£3.24 
SG2BOH12,Bohler - SG2 1.2mm Mig Wire 15KG,£28.99 
SIFALU16,SIF 4043 1.6mm Filler Rods 2.5kg,£26.24 
SIFALU24,SIF 4043 2.4mm Filler Rods 2.5kg,£21.87 
SIFTIP,500g SIF Tip Dip ,£12.59 
SPDGLS9000HB,Speedglas 9000 Series Head Band,£26.24 
SPDGLS9000SB,Speedglas 9000 Series Sweat Band - 2pk ,£17.10 
SPDGLS9000OL,Speedglas 9000 Series Outer Lens 10pk,£35.89 
T0816,0.8% Ceriated Tungsten 1.6mm 10pk,£7.77 
T0824,0.8% Ceriated Tungsten 2.4mm 10pk,£17.49 
T2016,2% Thoriated Tungsten 1.6mm 10pk,£7.77 
T2024,2.0% Thoriated Tungsten 2.4mm 10pk,£17.49 
T16ER70S6,1.6mm ER70S-6 Filler 5kg,£29.28 
T16ER4043,1.6mm ER4043 Filler 2.5kg,£32.27 
T16316L,1.6mm 316L Filler 5KG,£66.72 
TCWP16,1.6mm Collet ,£0.90 
TCBWP16,1.6mm Collet Body,£0.90 
TGCWP6,#6 Ceramic Gas Cup,£0.54 
TGCWP8,#8 Ceramic Gas Cup,£0.54 
TGCWP10,#10 Ceramic Gas Cup,£0.54 
TGLOVEL,Traffiglove - L Nitrile Disposable Gloves 100pk,£8.94 
TGLOVEXL,Traffiglove - XL Nitrile Disposable Gloves 100pk,£8.94 
TOFWHL,Powertech - Fluted Stripe Off Disc,£17.98 
TRSPB750,750ml Trigger Spray Bottle,£2.61 
TUFCUT,500ml Tuf Cut Cutting Compound,£11.64 
WIREABCR,Abracs - Crimped Wire Bevel Brush,£5.86 
UNISB,Universal - Sweat Band For Mask,£2.20 
WIRECBS,Blue Spot - Crimped Wire Cup 100mm,£7.38 
WIRECDBS,Blue Spot - Crimped Wire Brush 75mm For Drill,£1.83 
WIRECKSP,Klingspor - 60mm Crimped Wire Cup Brush M14,£3.60 
WIREYORK,York - Twisted Cup Wire Brush 100mm,£5.42 